,country,Region,totalpap,totalpap_cap,totalnpap,totalnpap_cap,totalproviders,totalproviders_cap,physicians2015,physicians2015_cap,physiciancap_diff
0,Albania,European Region,210.0,7.433628318584071,0.0,0.0,210.0,7.433628318584071,260.0,8.974801519,0.8282777399418576
1,Algeria,African Region,500.0,1.1025358324145536,2500.0,5.512679162072767,3000.0,6.615214994487321,1550.0,3.9076287,0.2821495891906397
2,Argentina,Region of the Americas,4900.0,10.608816142721054,0.0,0.0,4900.0,10.608816142721054,4760.0,10.9634475,0.9676532990850784
3,Australia,Western Pacific Region,2700.0,10.286889930277745,8500.0,32.38465348420772,11200.0,42.67154341448546,5535.0,23.09232759,0.445467867636367
4,Austria,European Region,614.25,6.860828772478499,0.0,0.0,614.25,6.860828772478499,3362.0,39.34464599,0.17437769739298903
5,Bangladesh,South-East Asia Region,1939.0,1.1549503829979868,0.0,0.0,1939.0,1.1549503829979868,1279.0,0.794429675,1.4538107265416371
6,Belarus,European Region,2395.0,25.593075443470827,0.0,0.0,2395.0,25.593075443470827,2185.0,23.00968829,1.112273887456075
7,Belgium,European Region,2873.0,24.743777452415813,0.0,0.0,2873.0,24.743777452415813,2217.0,19.62120542,1.2610732583837254
8,Belize,Region of the Americas,20.0,4.854368932038835,19.0,4.611650485436893,39.0,9.466019417475728,7.0,1.949860724,2.4895977811586683
9,Benin,African Region,17.333333333333332,0.13557554425759352,276.6666666666667,2.1639942641115892,294.0,2.2995698083691827,61.0,0.560661765,0.2418134296309532
10,Bhutan,South-East Asia Region,13.0,1.649746192893401,15.0,1.903553299492386,28.0,3.553299492385787,7.0,0.903225806,1.8265047144738036
11,Bolivia,Region of the Americas,450.0,3.7521887767864586,0.0,0.0,450.0,3.7521887767864586,720.0,6.713286713,0.5589197865660201
12,Bosnia and Herzegovina,European Region,0.0,0.0,300.0,9.233610341643582,300.0,9.233610341643582,230.0,6.036745407,0.0
13,Brazil,Region of the Americas,25484.0,11.833539195928564,0.0,0.0,25484.0,11.833539195928564,24000.0,11.54689966,1.024823939271034
14,Brunei Darussalam,Western Pacific Region,31.0,6.966292134831461,0.0,0.0,31.0,6.966292134831461,0.0,,
15,Burkina Faso,African Region,57.0,0.2578835452201058,800.0,3.6194181785278015,857.0,3.877301723747908,51.0,0.281674583,0.915537150968662
16,Burundi,African Region,7.0,0.0554455445544554,490.0,3.881188118811881,497.0,3.936633663366337,6.0,0.06,0.9240924092409242
17,Cambodia,Western Pacific Region,290.0,1.6890908031917993,660.0,3.8441376900227153,950.0,5.533228493214515,450.0,2.888689177,0.5847257007228367
18,Canada,Region of the Americas,3678.0,9.511740974449156,0.0,0.0,3678.0,9.511740974449156,4464.0,12.42070117,0.765797425142397
19,Central African Republic,African Region,2.0,0.0398644608331672,3.0,0.0597966912497508,5.0,0.099661152082918,0.0,0.0,inf
20,Chad,African Region,12.0,0.0689100723555759,80.0,0.4594004823705065,92.0,0.5283105547260825,1.0,0.007123522,9.673595779668537
21,Chile,Region of the Americas,1937.0,10.062337662337661,0.0,0.0,1937.0,10.062337662337661,1180.0,6.574548696,1.5304986133055274
22,China,Western Pacific Region,92726.0,6.532995056184208,0.0,0.0,92726.0,6.532995056184208,71698.0,5.121285714,1.275655259444915
23,Colombia,Region of the Americas,3339.6666666666665,6.48315311992442,0.0,0.0,3339.6666666666665,6.48315311992442,3600.0,7.464388646,0.8685444217053996
24,"Congo, Democratic Republic of the",African Region,90.0,0.0944971178379059,378.0,0.39688789491920495,468.0,0.49138501275711094,98.0,0.12683293,0.7450519185980008
25,Cook Islands,Western Pacific Region,1.0,,0.0,,1.0,,1.0,4.761904762,
26,Costa Rica,Region of the Americas,353.0,6.8120416827479735,0.0,0.0,353.0,6.8120416827479735,397.0,8.257071547,0.8249948718469029
27,Croatia,European Region,507.25,12.671746190357231,250.0,6.245316012990257,757.25,18.917062203347488,870.0,20.51886792,0.6175655615973783
28,Cuba,Region of the Americas,1452.0,12.842738369007606,0.0,0.0,1452.0,12.842738369007606,1786.0,15.68042142,0.819030179420242
29,Cyprus,Eastern Mediterranean Region,120.0,9.8119378577269,0.0,0.0,120.0,9.8119378577269,162.0,13.9055794,0.7056115804658165
30,Czech Republic,European Region,2500.0,23.314370978271004,0.0,0.0,2500.0,23.314370978271004,2121.0,20.11761358,1.1589034099675255
31,Côte d'Ivoire,African Region,132.5,0.47761516833681783,222.5,0.8020330185278638,355.0,1.2796481868646816,167.0,0.735618007,0.6492706320290196
32,Denmark,European Region,0.0,0.0,2200.0,37.46594005449592,2200.0,37.46594005449592,1925.0,33.9566061,0.0
33,Dominican Republic,Region of the Americas,1167.0,10.55535455861071,0.0,0.0,1167.0,10.55535455861071,800.0,7.598784195,1.389084659827046
